시도명,시군구명,위치,지번주소,위도,경도,데이터기준일자
강원도,정선군,용바위,정선군 신동읍 운치리 195-4,,,2022-07-26
강원도,정선군,정희민박앞,정선군 신동읍 덕천리 96-6,,,2022-07-26
강원도,정선군,거북민박앞,정선군 신동읍 덕천리 346-3,,,2022-07-26
강원도,정선군,용마소,정선군 화암면 화암리 1112,,,2022-07-26
강원도,정선군,고무소,정선군 화암면 몰운리 754,,,2022-07-26
강원도,정선군,거미대,정선군 화암면 석곡리 767-1,,,2022-07-26
강원도,정선군,구)낙동분교앞,정선군 남면 낙동리 613,,,2022-07-26
강원도,정선군,개미들야영장,정선군 남면 낙동리 687,,,2022-07-26
강원도,정선군,자개골,정선군 여량면 유천리 723-10,,,2022-07-26
강원도,정선군,지경하천,정선군 여량면 여량리 49-2,,,2022-07-26
강원도,정선군,흥터,정선군 여량면 유천리 574,,,2022-07-26
강원도,정선군,아우라지,정선군 여량면 여량리 725-1,,,2022-07-26
강원도,정선군,졸드루,정선군 북평면 나전리 330-49,,,2022-07-26
강원도,정선군,북평둔치,정선군 북평면 북평리 168,,,2022-07-26
강원도,정선군,숙암교,정선군 북평면 숙암리 441,,,2022-07-26
강원도,정선군,한반도마을,정선군 북평면 문곡리 323-1,,,2022-07-26
강원도,정선군,구미정,정선군 임계면 봉산리 523-1,,,2022-07-26
강원도,정선군,어전~노일마을,정선군 임계면 반천리 333-39,,,2022-07-26
